NAME,RA,DEC,TRIGGER_TIME,T90,T90_ERROR,FLUENCE,FLUENCE_ERROR,T50,T50_ERROR,TRIGGER_NAME
GRB200306934                  ,349.53,5.1,58914.934320911,0.992,1.226,9.2539e-08,1.4799e-08,0.096,0.132,"bn200306934
"
GRB080808565                  ,33.6,5.4,54686.565142805,17.728,1.489,3.9656e-06,4.2181e-08,5.248,0.32,"bn080808565
"
GRB100719989                  ,113.3,5.4,55396.988936682,21.824,1.305,5.1938e-05,6.5394e-07,3.328,0.58,"bn100719989
"
GRB200615250                  ,48.07,5.43,59015.250058826,49.664,13.4,1.7629e-06,5.5779e-08,19.456,3.665,"bn200615250
"
GRB191129141                  ,8.93,5.44,58816.140591742,19.968,1.056,1.154e-05,4.7684e-08,5.888,0.572,"bn191129141
"
GRB211221867                  ,75.33,5.67,59569.867136342,14.592,3.338,9.5941e-07,4.349e-08,5.12,1.448,"bn211221867
"
GRB190525032                  ,338.02,5.45,58628.031801524,0.896,0.202,8.2689e-07,1.8407e-08,0.448,0.143,"bn190525032
"
GRB110626448                  ,131.91,5.56,55738.447849688,6.4,1.145,1.1628e-06,2.9197e-08,2.048,0.724,"bn110626448
"
GRB251117514                  ,331.3,5.57,60996.513797946,1.344,0.181,7.7402e-07,1.1065e-08,0.384,0.143,"bn251117514
"
GRB150729517                  ,219.22,5.75,57232.516767848,35.585,0.81,1.6619e-05,4.2436e-08,7.168,0.362,"bn150729517
"
GRB230506531                  ,326.993,44.54,60070.531467218,38.4,12.803,6.2425e-06,5.8646e-08,12.544,4.104,"bn230506531
"
GRB120213606                  ,183.49,5.76,55970.606071868,13.824,3.328,2.678e-06,5.4574e-08,4.352,0.362,"bn120213606
"
GRB160728337                  ,337.04,5.77,57597.336957084,18.688,4.924,9.5055e-07,6.2236e-08,8.448,2.36,"bn160728337
"
GRB100423244                  ,119.67,5.78,55309.244048036,16.512,2.226,7.918e-06,1.2117e-07,6.976,0.362,"bn100423244
"
GRB190202634                  ,113.94,5.73,58516.634177536,17.152,4.048,1.531e-06,7.789e-08,5.12,1.846,"bn190202634
"
GRB111216389                  ,185.99,5.83,55911.389253583,81.921,0.724,4.4067e-05,6.3573e-08,32.769,0.724,"bn111216389
"
GRB241226940                  ,79.2,5.97,60670.940042409,87.041,3.665,6.145e-06,1.0574e-07,31.233,2.064,"bn241226940
"
GRB230811385                  ,139.07,6.51,60167.38500421,9.728,2.896,1.6456e-06,4.1771e-08,2.816,0.572,"bn230811385
"
GRB140402007                  ,207.592,5.971,56749.007025436,0.32,0.63,2.8428e-07,2.9008e-08,0.128,0.143,"bn140402007
"
GRB110119931                  ,348.558,5.9874,55580.931251942,205.828,1.864,1.0109e-05,4.5638e-08,44.033,0.923,"bn110119931
"
GRB130829672                  ,258.51,6.0,56533.672234638,6.656,1.619,3.6751e-06,4.9737e-08,2.048,0.362,"bn130829672
"
GRB100919884                  ,163.24,6.02,55458.883521768,49.601,2.975,5.7601e-06,8.6105e-08,16.128,2.073,"bn100919884
"
GRB160220868                  ,326.89,6.05,57438.868195723,22.528,9.444,1.2136e-06,1.0895e-07,7.424,2.187,"bn160220868
"
GRB170318644                  ,284.306,6.2987,57830.644364447,4.096,2.319,5.0807e-07,5.164e-08,1.152,0.692,"bn170318644
"
GRB130628860                  ,312.83,6.1,56471.859742931,0.512,0.143,1.0293e-06,9.7853e-09,0.384,0.091,"bn130628860
"
GRB110706202                  ,100.08,6.14,55748.202129963,12.032,4.382,3.2689e-06,9.7103e-08,5.888,2.828,"bn110706202
"
GRB191031025                  ,233.47,6.144,58787.025412133,200.196,3.338,4.3239e-06,4.9023e-08,180.995,1.619,"bn191031025
"
GRB250711611                  ,261.25,44.94,60867.611260882,30.209,1.379,1.4856e-05,5.7906e-08,14.336,0.724,"bn250711611
"
GRB160731024                  ,118.71,6.15,57600.024385121,28.672,1.95,2.8821e-06,3.6816e-08,5.376,1.379,"bn160731024
"
GRB191023630                  ,295.26,6.18,58779.629823558,172.547,1.846,1.7531e-05,3.9434e-08,77.569,0.572,"bn191023630
"
GRB090429753                  ,125.21,6.2,54950.752748982,0.64,0.466,1.1183e-06,4.3313e-08,0.256,0.143,"bn090429753
"
GRB161229878                  ,81.03,6.31,57751.877648387,33.537,0.362,3.8227e-05,3.7188e-08,19.456,0.362,"bn161229878
"
GRB241209233                  ,155.376,6.316,60653.233150027,0.128,0.181,1.1132e-07,1.5417e-08,0.064,0.091,"bn241209233
"
GRB110517573                  ,190.15,6.29,55698.572773152,23.04,0.362,8.7397e-06,3.8023e-08,16.384,0.572,"bn110517573
"
GRB210510806                  ,192.33,44.86,59344.805565166,1.344,0.792,2.3152e-07,1.4045e-08,0.384,0.143,"bn210510806
"
GRB140610548                  ,121.72,6.32,56818.547990757,36.865,1.143,1.8429e-05,5.6185e-08,9.472,0.724,"bn140610548
"
GRB200703970                  ,148.5,6.32,59033.969928693,32.513,1.493,1.7686e-05,4.7263e-08,16.128,0.362,"bn200703970
"
GRB120806007                  ,308.99,6.33,56145.007047057,26.624,1.557,4.9018e-06,3.6937e-08,7.68,0.81,"bn120806007
"
GRB121122870                  ,355.45,6.34,56253.870011898,125.439,0.724,9.0704e-06,5.9915e-08,108.29,0.724,"bn121122870
"
GRB170818137                  ,297.22,6.35,57983.137036799,0.576,2.519,2.892e-07,1.8442e-08,0.192,0.181,"bn170818137
"
GRB120528442                  ,295.13,6.5,56075.441669181,16.384,5.177,3.7919e-06,4.5669e-08,5.376,0.362,"bn120528442
"
GRB160827616                  ,129.06,6.38,57627.615601042,6.4,1.846,6.3631e-07,3.2311e-08,2.048,1.145,"bn160827616
"
GRB160102500                  ,223.77,6.38,57389.499567457,25.344,1.493,2.2959e-06,1.9858e-08,4.096,0.572,"bn160102500
"
GRB170302876                  ,11.95,6.41,57814.875858395,89.856,3.874,4.0376e-06,3.3855e-08,49.664,1.619,"bn170302876
"
GRB160107931                  ,299.67,6.413,57394.931035899,113.922,17.755,2.7302e-05,1.1595e-07,31.744,1.379,"bn160107931
"
GRB251014020                  ,111.732,6.415,60962.019795565,1.728,0.653,3.2601e-07,1.4589e-08,0.64,0.181,"bn251014020
"
GRB200924235                  ,319.44,6.48,59116.235064117,58.113,4.128,1.8874e-06,3.6182e-08,15.613,4.128,"bn200924235
"
GRB220702569                  ,160.01,6.5,59762.569163646,3.84,0.81,3.4616e-07,2.1861e-08,2.304,1.145,"bn220702569
"
GRB150923995                  ,92.28,6.53,57288.995052556,17.152,6.676,8.3327e-07,2.9234e-08,8.704,0.362,"bn150923995
"
GRB200722094                  ,188.19,6.5,59052.093703059,64.769,1.379,1.2033e-05,2.7335e-08,43.009,0.362,"bn200722094
"
GRB210324809                  ,173.52,6.55,59297.809102848,4.864,0.923,5.6276e-07,3.3384e-08,1.792,0.572,"bn210324809
"
GRB241204152                  ,316.5,6.55,60648.15234392,0.768,0.143,7.7992e-07,2.0782e-08,0.576,0.264,"bn241204152
"
